label: trace3
29
0.012903225806451613 -80.161290322580641
0.59354838709677415 -80.0
0.72258064516129028 -79.032258064516128
0.7870967741935484 -76.935483870967744
0.92903225806451617 -73.548387096774192
1.032258064516129 -69.354838709677423
1.1741935483870967 -65.806451612903231
1.2903225806451613 -64.354838709677423
1.4580645161290322 -61.935483870967744
1.5354838709677419 -62.096774193548391
1.6129032258064515 -62.903225806451616
1.7032258064516128 -64.838709677419359
1.8064516129032258 -67.258064516129025
1.935483870967742 -69.193548387096769
2.0774193548387099 -70.645161290322577
2.3612903225806452 -72.41935483870968
2.7999999999999998 -74.193548387096769
3.2000000000000002 -74.838709677419359
3.9225806451612901 -75.645161290322577
4.3612903225806452 -75.967741935483872
4.8129032258064512 -76.612903225806448
5.935483870967742 -77.41935483870968
7.1741935483870964 -78.548387096774192
7.7161290322580642 -79.032258064516128
8.3741935483870975 -79.193548387096769
9.4709677419354836 -79.516129032258064
10.787096774193548 -79.838709677419359
11.845161290322581 -80.161290322580641
12.567741935483872 -80.161290322580641
